max_depth,learning_rate,n_estimators,score,time
[CV 20/30] END base_estimator__max_depth=3, 0.025, 225, 0.747, 53.6s
[CV 23/30] END base_estimator__max_depth=3, 0.025, 225, 0.761, 50.6s
[CV 21/30] END base_estimator__max_depth=3, 0.025, 225, 0.746, 51.2s
[CV 22/30] END base_estimator__max_depth=3, 0.025, 225, 0.733, 51.5s
[CV 24/30] END base_estimator__max_depth=3, 0.025, 225, 0.780, 51.4s
[CV 25/30] END base_estimator__max_depth=3, 0.025, 225, 0.736, 51.2s
[CV 26/30] END base_estimator__max_depth=3, 0.025, 225, 0.768, 51.4s
[CV 27/30] END base_estimator__max_depth=3, 0.025, 225, 0.749, 51.3s
[CV 28/30] END base_estimator__max_depth=3, 0.025, 225, 0.720, 51.4s
[CV 29/30] END base_estimator__max_depth=3, 0.025, 225, 0.724, 51.5s
[CV 30/30] END base_estimator__max_depth=3, 0.025, 225, 0.737, 51.3s
[CV 1/30] END base_estimator__max_depth=3, 0.03, 175, 0.754, 41.0s
[CV 2/30] END base_estimator__max_depth=3, 0.03, 175, 0.738, 41.0s
[CV 3/30] END base_estimator__max_depth=3, 0.03, 175, 0.742, 40.8s
[CV 4/30] END base_estimator__max_depth=3, 0.03, 175, 0.737, 40.5s
[CV 5/30] END base_estimator__max_depth=3, 0.03, 175, 0.767, 41.3s
[CV 6/30] END base_estimator__max_depth=3, 0.03, 175, 0.728, 40.6s
[CV 7/30] END base_estimator__max_depth=3, 0.03, 175, 0.742, 40.5s
[CV 8/30] END base_estimator__max_depth=3, 0.03, 175, 0.743, 40.4s
[CV 9/30] END base_estimator__max_depth=3, 0.03, 175, 0.765, 41.0s
[CV 10/30] END base_estimator__max_depth=3, 0.03, 175, 0.730, 40.6s
[CV 11/30] END base_estimator__max_depth=3, 0.03, 175, 0.752, 41.5s
[CV 12/30] END base_estimator__max_depth=3, 0.03, 175, 0.732, 42.0s
[CV 13/30] END base_estimator__max_depth=3, 0.03, 175, 0.759, 41.9s
[CV 14/30] END base_estimator__max_depth=3, 0.03, 175, 0.751, 42.1s
[CV 15/30] END base_estimator__max_depth=3, 0.03, 175, 0.753, 41.9s
[CV 16/30] END base_estimator__max_depth=3, 0.03, 175, 0.736, 38.2s
[CV 17/30] END base_estimator__max_depth=3, 0.03, 175, 0.729, 38.5s
[CV 18/30] END base_estimator__max_depth=3, 0.03, 175, 0.739, 38.7s
[CV 19/30] END base_estimator__max_depth=3, 0.03, 175, 0.739, 38.8s
[CV 20/30] END base_estimator__max_depth=3, 0.03, 175, 0.748, 38.9s
[CV 21/30] END base_estimator__max_depth=3, 0.03, 175, 0.746, 38.1s
[CV 22/30] END base_estimator__max_depth=3, 0.03, 175, 0.739, 37.8s
[CV 23/30] END base_estimator__max_depth=3, 0.03, 175, 0.762, 37.9s
[CV 24/30] END base_estimator__max_depth=3, 0.03, 175, 0.768, 37.8s
[CV 25/30] END base_estimator__max_depth=3, 0.03, 175, 0.731, 37.6s
[CV 26/30] END base_estimator__max_depth=3, 0.03, 175, 0.761, 48.1s
[CV 27/30] END base_estimator__max_depth=3, 0.03, 175, 0.747, 48.5s
[CV 28/30] END base_estimator__max_depth=3, 0.03, 175, 0.724, 48.3s
[CV 29/30] END base_estimator__max_depth=3, 0.03, 175, 0.723, 49.4s
[CV 30/30] END base_estimator__max_depth=3, 0.03, 175, 0.739, 49.4s
[CV 1/30] END base_estimator__max_depth=3, 0.03, 200, 0.763, 57.4s
[CV 3/30] END base_estimator__max_depth=3, 0.03, 200, 0.746, 57.6s
[CV 2/30] END base_estimator__max_depth=3, 0.03, 200, 0.742, 57.7s
[CV 4/30] END base_estimator__max_depth=3, 0.03, 200, 0.735, 57.5s
[CV 5/30] END base_estimator__max_depth=3, 0.03, 200, 0.766, 57.6s
[CV 6/30] END base_estimator__max_depth=3, 0.03, 200, 0.738, 57.6s
[CV 8/30] END base_estimator__max_depth=3, 0.03, 200, 0.744, 57.5s
[CV 7/30] END base_estimator__max_depth=3, 0.03, 200, 0.744, 58.1s
[CV 9/30] END base_estimator__max_depth=3, 0.03, 200, 0.770, 57.5s
[CV 10/30] END base_estimator__max_depth=3, 0.03, 200, 0.732, 57.5s
[CV 11/30] END base_estimator__max_depth=3, 0.03, 200, 0.758, 57.4s
[CV 12/30] END base_estimator__max_depth=3, 0.03, 200, 0.732, 57.3s
[CV 13/30] END base_estimator__max_depth=3, 0.03, 200, 0.762, 57.8s
[CV 14/30] END base_estimator__max_depth=3, 0.03, 200, 0.751, 57.6s
[CV 15/30] END base_estimator__max_depth=3, 0.03, 200, 0.758, 57.5s
[CV 16/30] END base_estimator__max_depth=3, 0.03, 200, 0.734, 56.9s
[CV 17/30] END base_estimator__max_depth=3, 0.03, 200, 0.735, 57.2s
[CV 18/30] END base_estimator__max_depth=3, 0.03, 200, 0.741, 57.4s
[CV 19/30] END base_estimator__max_depth=3, 0.03, 200, 0.740, 57.2s
[CV 20/30] END base_estimator__max_depth=3, 0.03, 200, 0.755, 57.6s
[CV 21/30] END base_estimator__max_depth=3, 0.03, 200, 0.743, 57.9s
[CV 22/30] END base_estimator__max_depth=3, 0.03, 200, 0.739, 57.8s
[CV 23/30] END base_estimator__max_depth=3, 0.03, 200, 0.764, 58.4s
[CV 24/30] END base_estimator__max_depth=3, 0.03, 200, 0.772, 57.9s
